,Character
0,
1,Joyboy
2,Lionel Dolby
3,Major Motion Picture Director
4,Augusta Weissberger
5,Kinter
6,Logans`s Sister
7,Charlene Morton
8,Amanda Chase
9,Bob Arum
10,ACP Vishnu Kamath
11,Carrie Mae
12,Brandon Crawford
13,Shirtless Fan 'A'
14,Quadling Girl (uncredited)
15,Cocoon Girl
16,Arcade Patron (uncredited)
17,Quincy Watson
18,Senate Hearing Attendee
19,'Michael Jackson' Video Waiter
20,Rabbitt
21,A Spaceball (uncredited)
22,Public Works Man
23,Magnus Bane
24,Lisa Jorgenson
25,Alec - The Debt Collector
26,Strawberry Vendor
27,Principal Garner
28,Tortoise John (voice)
29,Pre-Op Nurse
30,Judge Byers
31,"Dr. Julia Harris, D.D.S."
32,Liane Wigand
33,Agamemnon (voice)
34,Frederick Carter
35,Woman Accomplice
36,Madelyne Thompson
37,Engywook
38,Teeny Weeny
39,Ginger Jenny
40,Fender - Corny Collins Council
41,Mélanie
42,Frederick Alexander (as Sir Cedric Hardwicke)v
43,Peter Dellaplane
44,Det. Hicks
45,Danny Jacobsen
46,Sergeant Cohan's Mother
47,Madame Leota
48,die Mutter des jungen Vito
49,Adam
50,Playground Girl #1
51,Officer Cho
52,Octan Robot / Additional Voices (voice)
53,Marine Guard
54,Yarnell
55,Toby Welch
56,King Edward
57,Aru
58,New York Butcher
59,Titania
60,Burger Jungle Guy
61,Carl Fogerty
62,Balmoral Maid
63,Darnelle
64,Larry (voice) (uncredited)
65,Rollins
66,Pablo Picasso
67,Timonides
68,Theater Girl #2
69,"Hospital patient who sees imaginary ""beetles"""
70,Ensign
71,Babcock
72,Esteban Vihaio
73,Dr. Morgan
74,Louisa Stockbridge
75,Mal Reese
76,Cop at Protest
77,Shubho Shekhar Rai Banerjee
78,Marnie Burke
79,Lady of Court
80,Headless
81,Pablo Sandoval
82,Tarik
83,Arlene Miller
84,Judge (voice)
85,Make-up Assistant
86,Anne Hamilton
87,Bruce Thorpe
88,Col. Samuel Trautman
89,Coyote Ugly Bar Patron
90,J.J. Singleton
91,Caitlin Avey
92,le commissaire de la Marine
93,Mr. Guzman
94,Cyberdyne Tech (uncredited)
95,Annabelle Fritton
96,Ranger Brad
97,T-Gram
98,Tyler Jamison
99,Producer
100,Stadium Guard
101,Dr. Doyle
102,John Herod
103,Greg Marmalard
104,Cpl. Robert Dunne / Narrator
105,Andrew Lloyd Webber
106,Wilkie
107,Jake Simpson
108,Günter Wüst
109,Howard Brackett
110,Lukas
111,Competence - The Roman Empire
112,Jordan Armstrong
113,BBC News Anchor
114,Kong Wai-Ling
115,Inspector Batman
116,Leslie Burke
117,Stiggs
118,Paul Forney
119,Monica Swinton
120,Frank Marino
121,Herb Foster
122,UMass Greeter
123,le grand oncle de Julie
124,Rebecca Douglas
125,Nie Feng
126,le prêtre Rafael jeune
127,Henry Fine
128,Lance Harbor
129,Delmer Darion
130,SPECTRE Agent (uncredited)
131,Will Anderson
132,Night Club Security
133,Frank Griga
134,Greta Greenberg
135,Morgan's Friend
136,Chuy (voice)
137,Muriel
138,Aunt Ruth
139,Stagehand (Montréal)
140,Miss Taylor (1959)
141,Jack Hayes
142,Mrs. Charles St. James
143,Tuffnut
144,Bazil
145,Pornstar on Strike
146,Alan Turing
147,Cotton's Interviewer
148,Farroukh
149,Vlad (voice)
150,Sumo Singer (voice)
151,Dr. Nathan Gross
152,Heraldson
153,Cyril Gray
154,Debbie De Luca
155,Photo Editor
156,Hen
157,Man Mountain
158,Takeo
159,Character Rake
160,Navy Captain Mullenaro
161,Doris
162,Magistrate
163,Young Sean
164,Big Rob
165,Spider Lady #4
166,Emily's Father
167,Coach Faxon
168,Dr. Dana
169,Paulina
170,Reordan
171,Starfleet Memorial Admiral
172,Farder Coram
173,General
174,Agent Faye
175,Andrew Margolis Jr.
176,Kevin Jackson
177,Major Rinaldi
178,"Janet Johnson, Clermont Resident"
179,Star Roberts
180,Han Solo (voice)
181,Louisville Football Coach (uncredited)
182,Norman Bartold
183,Pushy Woman
184,Moose
185,Elle
186,Deb
187,Sound Man
188,Jake Mitchell
189,Graydon
190,Shaker
191,Maude's Thug #1
192,Johnny Blaze/Ghost Rider
193,Erika Cho
194,Newsstand Cashier
