,Crew
0,Matt Maiellaro
1,Michael Rymer
2,Michael Donovan
3,Marielle Heller
4,Mic Rodgers
5,Brad Epstein
6,William A. Fraker
7,Chui Bo-Chu
8,Volker Engel
9,Philip D'Antoni
10,Harry J. Ufland
11,Rick Rosenthal
12,William D. Johnson
13,Norman Ferguson
14,David Frankel
15,Jay Chandrasekhar
16,Claudia Becker
17,Wolfgang Petersen
18,Stacey Menear
19,Suresh Nair
20,Fabián Bielinsky
21,David Diliberto
22,Ross M. Dinerstein
23,Stéphane Kooshmanian
24,Finola Dwyer
25,Maggie Renzi
26,Paul Hall
27,James Whale
28,Marc Butan
29,Jeff Freilich
30,Buck Henry
31,Michael Loveday
32,Robert M. Young
33,Darren Goldberg
34,Barry Michael Cooper
35,Anna Moot-Levin
36,Michael Pressman
37,Martin Scorsese
38,Peter Steinfeld
39,Tamra Davis
40,Nick Laws
41,Mino Roli
42,Gym Hinderer
43,Suzanne Herrington
44,Tania Reichert-Facilides
45,Yoram Mandel
46,Herb Freed
47,Sergey Melkumov
48,Alfred Hitchcock
49,Martina Niland
50,John Turturro
51,Caldecot Chubb
52,Christopher Bessette
53,Bob Degus
54,Andrew Lloyd Webber
55,Michael Burns
56,John Linson
57,Brigitte Jean Allen
58,Wren Arthur
59,Mick Jagger
60,Anish Savjani
61,Gaspar Noé
62,Benjamin Goldhirsh
63,Ethan Coen
64,Alexander Rodnyansky
65,Matthew Gledhill
66,Anant Singh
67,Lawrence Guterman
68,Sean Finegan
69,Michael Benaroya
70,Benoît Quainon
71,Stephen Break
72,Jonathan M. Goldstein
73,Naomi Watts
74,John D. Schofield
75,Jackie Kelman Bisbee
76,Peter Morgan
77,Annette Savitch
78,Roman Coppola
79,Mike Jefferies
80,Martin Wiley
81,Orian Williams
82,Daniel Woo
83,Mark O'Rowe
84,Neil A. Machlis
85,Jianqiu Wang
86,Jessica Sharzer
87,Richard Weager
88,Patrick Cunningham
89,Marty Adelstein
90,Seaton McLean
91,Harry Linden
92,Erika Conner
93,Peter Barsocchini
94,Paul B. Radin
95,Jodi Redmond
96,Eric Fellner
97,Jay Michaelson
98,Darrick Bachman
99,Mike Bruce
100,Cory Edwards
101,Sari Friedland
102,Artur Brauner
103,Gregory J. Bradley
104,Bob Dolman
105,Joanne Smith
106,Marius Balchunas
107,Jay-Z
108,Dan Lin
109,John Luessenhop
110,Frank Mancuso Jr.
111,Chris Butler
112,Julien Naveau
113,Stephan Roelants
114,Ellen Goldsmith-Vein
115,Allen Hughes
116,Robert Lowell
117,Catherine Hardwicke
118,Justin Tipping
119,Christi Dembrowski
120,John Thomas
121,Tove Christensen
122,Luc Jacquet
123,Toby Halbrooks
124,Mark Cuban
125,Steve Box
